stream,department,job_role,company_level,company_name,location,required_skills
Engineering,Civil,Safety Engineer,Startup,BrowserStack,Ahmedabad,Construction Safety
Engineering,Mechanical,Design Engineer,Startup,Byjus,Mumbai,"AutoCAD, SolidWorks"
Engineering,Mechanical,Design Engineer,Startup,Groww,Pune,"AutoCAD, SolidWorks"
Engineering,CSE,ML Engineer,Startup,Byjus,Coimbatore,"Python, TensorFlow, Scikit-learn"
Engineering,EEE,Control Systems Engineer,Startup,Postman,Coimbatore,"PLC, SCADA"
Engineering,Mechanical,Production Engineer,Startup,Navi,Bengaluru,Manufacturing Processes
Engineering,Civil,Site Engineer,Startup,Ola Electric,Hyderabad,"AutoCAD, Site Management"
Engineering,AI&DS,AI Engineer,Startup,Unacademy,Noida,"Deep Learning, NLP"
Engineering,EEE,Electrical Design Engineer,Startup,PhysicsWallah,Bengaluru,"AutoCAD, Power Systems"
Engineering,Mechanical,CAD Engineer,Startup,Quantiphi,Gurgaon,"CATIA, NX"
Engineering,AI&DS,AI Engineer,Startup,Meesho,Bengaluru,"Deep Learning, NLP"
Engineering,AI&DS,Big Data Engineer,Startup,GreyOrange,Kolkata,"Spark, Hadoop"
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Coimbatore,"Docker, Kubernetes, CI/CD"
Engineering,AI&DS,AI Engineer,Startup,Tiger Analytics,Noida,"Deep Learning, NLP"
Engineering,AI&DS,AI Engineer,Startup,Slice,Ahmedabad,"Deep Learning, NLP"
Engineering,CSE,Data Scientist,Startup,Ola Electric,Noida,"Python, ML, Pandas, NumPy"
Engineering,Civil,Planning Engineer,Startup,Practo,Pune,"MS Project, Primavera"
Engineering,Mechanical,CAD Engineer,Startup,Byjus,Kolkata,"CATIA, NX"
Engineering,ECE,VLSI Engineer,Startup,Unacademy,Ahmedabad,"VHDL, Verilog"
Engineering,Civil,Structural Engineer,Startup,Tredence,Mumbai,"ETABS, STAAD"
Engineering,Mechanical,Maintenance Engineer,Startup,BigBasket,Pune,Plant Maintenance
Engineering,Civil,Safety Engineer,Startup,Paytm,Bengaluru,Construction Safety
Engineering,ECE,Signal Processing Engineer,Startup,BrowserStack,Mumbai,"MATLAB, DSP"
Engineering,Civil,Structural Engineer,Startup,Navi,Mumbai,"ETABS, STAAD"
Engineering,AI&DS,AI Engineer,Startup,PhonePe,Bengaluru,"Deep Learning, NLP"
Engineering,Mechanical,Design Engineer,Startup,OfBusiness,Ahmedabad,"AutoCAD, SolidWorks"
Engineering,CSE,Data Scientist,Startup,BigBasket,Ahmedabad,"Python, ML, Pandas, NumPy"
Engineering,CSE,Data Analyst,Startup,CARS24,Coimbatore,"Python, SQL, Excel, Power BI"
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Gurgaon,"Docker, Kubernetes, CI/CD"
Engineering,CSE,Backend Developer,Startup,GreyOrange,Hyderabad,"Java, Spring Boot, APIs"
Engineering,Mechanical,Quality Engineer,Startup,Zerodha,Noida,Six Sigma
Engineering,AI&DS,AI Engineer,Startup,Spinny,Ahmedabad,"Deep Learning, NLP"
Engineering,CSE,Cloud Engineer,Startup,BigBasket,Noida,"AWS, Azure, Linux"
Engineering,ECE,Signal Processing Engineer,Startup,Delhivery,Kolkata,"MATLAB, DSP"
Engineering,EEE,Power Systems Engineer,Startup,Ola Electric,Noida,Power Generation
Engineering,Civil,Site Engineer,Startup,Swiggy,Bengaluru,"AutoCAD, Site Management"
Engineering,AI&DS,Big Data Engineer,Startup,Chargebee,Ahmedabad,"Spark, Hadoop"
Engineering,Civil,Quantity Surveyor,Startup,Ola Electric,Noida,"Estimation, Billing"
Engineering,CSE,ML Engineer,Startup,Ola Electric,Noida,"Python, TensorFlow, Scikit-learn"
Engineering,Civil,Quantity Surveyor,Startup,Zomato,Coimbatore,"Estimation, Billing"
Engineering,Civil,Structural Engineer,Startup,Udaan,Coimbatore,"ETABS, STAAD"
Engineering,Civil,Structural Engineer,Startup,InfraMarket,Kolkata,"ETABS, STAAD"
Engineering,Civil,Planning Engineer,Startup,CARS24,Gurgaon,"MS Project, Primavera"
Engineering,ECE,IoT Engineer,Startup,Quantiphi,Hyderabad,"Sensors, MQTT"
Engineering,EEE,Electrical Design Engineer,Startup,PhonePe,Mumbai,"AutoCAD, Power Systems"
Engineering,EEE,Energy Analyst,Startup,Fractal Analytics,Pune,Renewable Energy
Engineering,CSE,Software Engineer,Startup,InfraMarket,Kolkata,"Python, Java, DSA, OOP"
Engineering,Civil,Safety Engineer,Startup,Paytm,Ahmedabad,Construction Safety
Engineering,AI&DS,Data Analyst,Startup,CARS24,Pune,"SQL, Python"
Engineering,Mechanical,CAD Engineer,Startup,Urban Company,Mumbai,"CATIA, NX"
Engineering,CSE,Data Scientist,Startup,Swiggy,Hyderabad,"Python, ML, Pandas, NumPy"
Engineering,AI&DS,Big Data Engineer,Startup,Zerodha,Bengaluru,"Spark, Hadoop"
Engineering,Mechanical,Design Engineer,Startup,Delhivery,Chennai,"AutoCAD, SolidWorks"
Engineering,EEE,Control Systems Engineer,Startup,Paytm,Noida,"PLC, SCADA"
Engineering,ECE,Network Engineer,Startup,OfBusiness,Hyderabad,"Networking, Routing"
Engineering,Mechanical,CAD Engineer,Startup,Delhivery,Hyderabad,"CATIA, NX"
Engineering,CSE,Cloud Engineer,Startup,Jupiter,Chennai,"AWS, Azure, Linux"
Engineering,AI&DS,Data Analyst,Startup,InMobi,Bengaluru,"SQL, Python"
Engineering,Civil,Quantity Surveyor,Startup,Jupiter,Kolkata,"Estimation, Billing"
Engineering,EEE,Electrical Design Engineer,Startup,CRED,Kolkata,"AutoCAD, Power Systems"
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Mumbai,"Python, TensorFlow, Scikit-learn"
Engineering,EEE,Maintenance Engineer,Startup,Vedantu,Kolkata,Electrical Maintenance
Engineering,Civil,Site Engineer,Startup,ACKO,Gurgaon,"AutoCAD, Site Management"
Engineering,AI&DS,Data Analyst,Startup,BigBasket,Kolkata,"SQL, Python"
Engineering,CSE,ML Engineer,Startup,Chargebee,Noida,"Python, TensorFlow, Scikit-learn"
Engineering,ECE,VLSI Engineer,Startup,Mu Sigma,Coimbatore,"VHDL, Verilog"
Engineering,EEE,Maintenance Engineer,Startup,BigBasket,Ahmedabad,Electrical Maintenance
Engineering,Mechanical,Design Engineer,Startup,Meesho,Bengaluru,"AutoCAD, SolidWorks"
Engineering,Mechanical,Maintenance Engineer,Startup,GreyOrange,Hyderabad,Plant Maintenance
Engineering,Mechanical,Quality Engineer,Startup,Groww,Noida,Six Sigma
Engineering,CSE,DevOps Engineer,Startup,Dunzo,Chennai,"Docker, Kubernetes, CI/CD"
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Coimbatore,"Docker, Kubernetes, CI/CD"
Engineering,CSE,Cloud Engineer,Startup,Digit Insurance,Ahmedabad,"AWS, Azure, Linux"
Engineering,Civil,Safety Engineer,Startup,Tredence,Bengaluru,Construction Safety
Engineering,AI&DS,Data Analyst,Startup,Navi,Pune,"SQL, Python"
Engineering,EEE,Control Systems Engineer,Startup,Fractal Analytics,Coimbatore,"PLC, SCADA"
Engineering,CSE,Software Engineer,Startup,Porter,Gurgaon,"Python, Java, DSA, OOP"
Engineering,AI&DS,Data Scientist,Startup,Delhivery,Hyderabad,"Python, ML, Pandas"
Engineering,Mechanical,Maintenance Engineer,Startup,Razorpay,Gurgaon,Plant Maintenance
Engineering,Civil,Planning Engineer,Startup,Porter,Bengaluru,"MS Project, Primavera"
Engineering,Mechanical,Maintenance Engineer,Startup,Innovaccer,Chennai,Plant Maintenance
Engineering,AI&DS,AI Engineer,Startup,Digit Insurance,Bengaluru,"Deep Learning, NLP"
Engineering,ECE,Signal Processing Engineer,Startup,Quantiphi,Chennai,"MATLAB, DSP"
Engineering,ECE,Signal Processing Engineer,Startup,InMobi,Pune,"MATLAB, DSP"
Engineering,CSE,DevOps Engineer,Startup,Fractal Analytics,Coimbatore,"Docker, Kubernetes, CI/CD"
Engineering,EEE,Power Systems Engineer,Startup,Nykaa,Coimbatore,Power Generation
Engineering,EEE,Electrical Design Engineer,Startup,Mu Sigma,Mumbai,"AutoCAD, Power Systems"
Engineering,EEE,Energy Analyst,Startup,GreyOrange,Ahmedabad,Renewable Energy
Engineering,EEE,Control Systems Engineer,Startup,Vedantu,Mumbai,"PLC, SCADA"
Engineering,Mechanical,Production Engineer,Startup,Porter,Chennai,Manufacturing Processes
Engineering,EEE,Control Systems Engineer,Startup,Ather Energy,Noida,"PLC, SCADA"
Engineering,EEE,Energy Analyst,Startup,GreyOrange,Noida,Renewable Energy
Engineering,ECE,Signal Processing Engineer,Startup,Digit Insurance,Mumbai,"MATLAB, DSP"
Engineering,CSE,Software Engineer,Startup,InMobi,Pune,"Python, Java, DSA, OOP"
Engineering,Mechanical,Maintenance Engineer,Startup,Delhivery,Pune,Plant Maintenance
Engineering,AI&DS,ML Engineer,Startup,Nykaa,Noida,"TensorFlow, PyTorch"
Engineering,Civil,Site Engineer,Startup,Slice,Hyderabad,"AutoCAD, Site Management"
Engineering,Civil,Structural Engineer,Startup,CRED,Kolkata,"ETABS, STAAD"
Engineering,Civil,Structural Engineer,Startup,Meesho,Mumbai,"ETABS, STAAD"
Engineering,EEE,Energy Analyst,Startup,Nykaa,Ahmedabad,Renewable Energy
Engineering,Mechanical,CAD Engineer,Startup,InMobi,Gurgaon,"CATIA, NX"
Engineering,ECE,Network Engineer,Startup,Digit Insurance,Kolkata,"Networking, Routing"
Engineering,Mechanical,Production Engineer,Startup,InMobi,Bengaluru,Manufacturing Processes
Engineering,Mechanical,Maintenance Engineer,Startup,Mu Sigma,Hyderabad,Plant Maintenance
Engineering,CSE,Data Scientist,Startup,Chargebee,Bengaluru,"Python, ML, Pandas, NumPy"
Engineering,AI&DS,Data Scientist,Startup,Zerodha,Ahmedabad,"Python, ML, Pandas"
Engineering,Civil,Quantity Surveyor,Startup,PolicyBazaar,Ahmedabad,"Estimation, Billing"
Engineering,ECE,Network Engineer,Startup,Paytm,Gurgaon,"Networking, Routing"
Engineering,ECE,Embedded Engineer,Startup,Vedantu,Noida,"C, Embedded Systems"
Engineering,Civil,Planning Engineer,Startup,ACKO,Ahmedabad,"MS Project, Primavera"
Engineering,EEE,Control Systems Engineer,Startup,Vedantu,Gurgaon,"PLC, SCADA"
Engineering,AI&DS,Big Data Engineer,Startup,Mu Sigma,Gurgaon,"Spark, Hadoop"
Engineering,ECE,Signal Processing Engineer,Startup,Porter,Ahmedabad,"MATLAB, DSP"
Engineering,EEE,Control Systems Engineer,Startup,PhonePe,Chennai,"PLC, SCADA"
Engineering,AI&DS,Data Analyst,Startup,Ola Electric,Pune,"SQL, Python"
Engineering,AI&DS,AI Engineer,Startup,Zetwerk,Kolkata,"Deep Learning, NLP"
Engineering,Civil,Safety Engineer,Startup,Innovaccer,Pune,Construction Safety
Engineering,AI&DS,AI Engineer,Startup,Unacademy,Mumbai,"Deep Learning, NLP"
Engineering,CSE,Software Engineer,Startup,Jupiter,Noida,"Python, Java, DSA, OOP"
Engineering,Civil,Quantity Surveyor,Startup,Swiggy,Mumbai,"Estimation, Billing"
Engineering,EEE,Energy Analyst,Startup,Zomato,Mumbai,Renewable Energy
Engineering,Mechanical,Production Engineer,Startup,OfBusiness,Gurgaon,Manufacturing Processes
Engineering,ECE,IoT Engineer,Startup,Spinny,Coimbatore,"Sensors, MQTT"
Engineering,AI&DS,ML Engineer,Startup,Zomato,Coimbatore,"TensorFlow, PyTorch"
Engineering,Civil,Site Engineer,Startup,Innovaccer,Noida,"AutoCAD, Site Management"
Engineering,Civil,Structural Engineer,Startup,Urban Company,Noida,"ETABS, STAAD"
Engineering,AI&DS,AI Engineer,Startup,Ather Energy,Ahmedabad,"Deep Learning, NLP"
Engineering,Mechanical,CAD Engineer,Startup,Porter,Pune,"CATIA, NX"
Engineering,Civil,Quantity Surveyor,Startup,PolicyBazaar,Gurgaon,"Estimation, Billing"
Engineering,CSE,Full Stack Developer,Startup,BigBasket,Gurgaon,"HTML, CSS, JavaScript, React"
Engineering,Civil,Structural Engineer,Startup,Nykaa,Noida,"ETABS, STAAD"
Engineering,CSE,Data Analyst,Startup,CRED,Kolkata,"Python, SQL, Excel, Power BI"
Engineering,Mechanical,CAD Engineer,Startup,GreyOrange,Chennai,"CATIA, NX"
Engineering,AI&DS,ML Engineer,Startup,Dunzo,Noida,"TensorFlow, PyTorch"
Engineering,ECE,VLSI Engineer,Startup,PolicyBazaar,Kolkata,"VHDL, Verilog"
Engineering,ECE,Network Engineer,Startup,Zomato,Coimbatore,"Networking, Routing"
Engineering,Civil,Quantity Surveyor,Startup,Ninjacart,Kolkata,"Estimation, Billing"
Engineering,Civil,Safety Engineer,Startup,CRED,Kolkata,Construction Safety
Engineering,EEE,Energy Analyst,Startup,Zetwerk,Hyderabad,Renewable Energy
Engineering,EEE,Energy Analyst,Startup,Slice,Mumbai,Renewable Energy
Engineering,Civil,Planning Engineer,Startup,Nykaa,Hyderabad,"MS Project, Primavera"
Engineering,Civil,Site Engineer,Startup,Zerodha,Hyderabad,"AutoCAD, Site Management"
Engineering,Mechanical,Production Engineer,Startup,Groww,Chennai,Manufacturing Processes
Engineering,EEE,Electrical Design Engineer,Startup,Unacademy,Coimbatore,"AutoCAD, Power Systems"
Engineering,Mechanical,CAD Engineer,Startup,BrowserStack,Chennai,"CATIA, NX"
Engineering,EEE,Electrical Design Engineer,Startup,Nykaa,Ahmedabad,"AutoCAD, Power Systems"
Engineering,CSE,Data Analyst,Startup,Slice,Pune,"Python, SQL, Excel, Power BI"
Engineering,ECE,Signal Processing Engineer,Startup,Tiger Analytics,Hyderabad,"MATLAB, DSP"
Engineering,AI&DS,ML Engineer,Startup,Razorpay,Mumbai,"TensorFlow, PyTorch"
Engineering,AI&DS,ML Engineer,Startup,Ninjacart,Bengaluru,"TensorFlow, PyTorch"
Engineering,AI&DS,Data Analyst,Startup,InMobi,Bengaluru,"SQL, Python"
Engineering,Civil,Quantity Surveyor,Startup,InfraMarket,Kolkata,"Estimation, Billing"
Engineering,AI&DS,ML Engineer,Startup,Tiger Analytics,Noida,"TensorFlow, PyTorch"
Engineering,Civil,Quantity Surveyor,Startup,PhonePe,Pune,"Estimation, Billing"
Engineering,ECE,IoT Engineer,Startup,Chargebee,Pune,"Sensors, MQTT"
Engineering,Civil,Quantity Surveyor,Startup,Jupiter,Bengaluru,"Estimation, Billing"
Engineering,ECE,IoT Engineer,Startup,Meesho,Coimbatore,"Sensors, MQTT"
Engineering,AI&DS,AI Engineer,Startup,CARS24,Pune,"Deep Learning, NLP"
Engineering,EEE,Energy Analyst,Startup,BrowserStack,Mumbai,Renewable Energy
Engineering,CSE,Data Analyst,Startup,Paytm,Bengaluru,"Python, SQL, Excel, Power BI"
Engineering,AI&DS,Data Scientist,Startup,BrowserStack,Chennai,"Python, ML, Pandas"
Engineering,AI&DS,AI Engineer,Startup,Practo,Mumbai,"Deep Learning, NLP"
Engineering,ECE,IoT Engineer,Startup,Nykaa,Mumbai,"Sensors, MQTT"
Engineering,ECE,Signal Processing Engineer,Startup,Jupiter,Gurgaon,"MATLAB, DSP"
Engineering,ECE,Network Engineer,Startup,Swiggy,Chennai,"Networking, Routing"
Engineering,AI&DS,AI Engineer,Startup,BrowserStack,Chennai,"Deep Learning, NLP"
Engineering,Civil,Quantity Surveyor,Startup,OfBusiness,Mumbai,"Estimation, Billing"
Engineering,EEE,Power Systems Engineer,Startup,Udaan,Mumbai,Power Generation
Engineering,Civil,Structural Engineer,Startup,Zerodha,Gurgaon,"ETABS, STAAD"
Engineering,EEE,Electrical Design Engineer,Startup,Groww,Kolkata,"AutoCAD, Power Systems"
Engineering,AI&DS,Data Scientist,Startup,Practo,Kolkata,"Python, ML, Pandas"
Engineering,CSE,DevOps Engineer,Startup,Zetwerk,Mumbai,"Docker, Kubernetes, CI/CD"
Engineering,Civil,Site Engineer,Startup,BrowserStack,Kolkata,"AutoCAD, Site Management"
Engineering,CSE,DevOps Engineer,Startup,Digit Insurance,Hyderabad,"Docker, Kubernetes, CI/CD"
Engineering,Civil,Structural Engineer,Startup,Razorpay,Coimbatore,"ETABS, STAAD"
Engineering,CSE,Data Analyst,Startup,Unacademy,Gurgaon,"Python, SQL, Excel, Power BI"
Engineering,Mechanical,CAD Engineer,Startup,PhysicsWallah,Mumbai,"CATIA, NX"
Engineering,ECE,IoT Engineer,Startup,Innovaccer,Chennai,"Sensors, MQTT"
Engineering,ECE,IoT Engineer,Startup,Udaan,Kolkata,"Sensors, MQTT"
Engineering,Mechanical,Design Engineer,Startup,InfraMarket,Ahmedabad,"AutoCAD, SolidWorks"
Engineering,CSE,DevOps Engineer,Startup,Ather Energy,Mumbai,"Docker, Kubernetes, CI/CD"
Engineering,Mechanical,Design Engineer,Startup,Udaan,Hyderabad,"AutoCAD, SolidWorks"
Engineering,Civil,Site Engineer,Startup,Navi,Ahmedabad,"AutoCAD, Site Management"
Engineering,Civil,Structural Engineer,Startup,Slice,Coimbatore,"ETABS, STAAD"
Engineering,EEE,Maintenance Engineer,Startup,Practo,Ahmedabad,Electrical Maintenance
Engineering,CSE,Data Scientist,Startup,Quantiphi,Kolkata,"Python, ML, Pandas, NumPy"
Engineering,CSE,DevOps Engineer,Startup,Swiggy,Kolkata,"Docker, Kubernetes, CI/CD"
Engineering,Civil,Quantity Surveyor,Startup,Spinny,Bengaluru,"Estimation, Billing"
Engineering,Mechanical,CAD Engineer,Startup,Zomato,Ahmedabad,"CATIA, NX"
Engineering,Mechanical,Design Engineer,Startup,Meesho,Ahmedabad,"AutoCAD, SolidWorks"
Engineering,Civil,Structural Engineer,Startup,Urban Company,Mumbai,"ETABS, STAAD"
Engineering,Civil,Safety Engineer,Startup,Nykaa,Mumbai,Construction Safety
Engineering,EEE,Energy Analyst,Startup,Vedantu,Mumbai,Renewable Energy
Engineering,EEE,Maintenance Engineer,Startup,PhysicsWallah,Bengaluru,Electrical Maintenance
Engineering,Civil,Safety Engineer,Startup,Vedantu,Coimbatore,Construction Safety
Engineering,Mechanical,Design Engineer,Startup,PhysicsWallah,Pune,"AutoCAD, SolidWorks"
Engineering,EEE,Electrical Design Engineer,Startup,Meesho,Chennai,"AutoCAD, Power Systems"
Engineering,ECE,Signal Processing Engineer,Startup,CARS24,Hyderabad,"MATLAB, DSP"
Engineering,Mechanical,Design Engineer,Startup,Meesho,Coimbatore,"AutoCAD, SolidWorks"
Engineering,AI&DS,Data Scientist,Startup,GreyOrange,Pune,"Python, ML, Pandas"
Engineering,AI&DS,ML Engineer,Startup,Porter,Hyderabad,"TensorFlow, PyTorch"
Engineering,ECE,IoT Engineer,Startup,Swiggy,Bengaluru,"Sensors, MQTT"
Engineering,Civil,Structural Engineer,Startup,Tredence,Noida,"ETABS, STAAD"
Engineering,ECE,IoT Engineer,Startup,Meesho,Noida,"Sensors, MQTT"
Engineering,Mechanical,Maintenance Engineer,Startup,Innovaccer,Noida,Plant Maintenance
Engineering,EEE,Energy Analyst,Startup,PhysicsWallah,Ahmedabad,Renewable Energy
Engineering,EEE,Electrical Design Engineer,Startup,Ola Electric,Hyderabad,"AutoCAD, Power Systems"
Engineering,CSE,Data Scientist,Startup,Postman,Kolkata,"Python, ML, Pandas, NumPy"
Engineering,ECE,Embedded Engineer,Startup,Udaan,Noida,"C, Embedded Systems"
Engineering,ECE,Network Engineer,Startup,Digit Insurance,Ahmedabad,"Networking, Routing"
Engineering,CSE,ML Engineer,Startup,Paytm,Hyderabad,"Python, TensorFlow, Scikit-learn"
Engineering,CSE,Backend Developer,Startup,GreyOrange,Mumbai,"Java, Spring Boot, APIs"
Engineering,CSE,Cloud Engineer,Startup,Nykaa,Ahmedabad,"AWS, Azure, Linux"
Engineering,AI&DS,Data Scientist,Startup,Groww,Gurgaon,"Python, ML, Pandas"
Engineering,Mechanical,Quality Engineer,Startup,BigBasket,Coimbatore,Six Sigma
Engineering,CSE,Full Stack Developer,Startup,Swiggy,Hyderabad,"HTML, CSS, JavaScript, React"
Engineering,Civil,Site Engineer,Startup,Innovaccer,Chennai,"AutoCAD, Site Management"
Engineering,Mechanical,Maintenance Engineer,Startup,InMobi,Kolkata,Plant Maintenance
Engineering,AI&DS,ML Engineer,Startup,Unacademy,Coimbatore,"TensorFlow, PyTorch"
Engineering,CSE,ML Engineer,Startup,Ather Energy,Ahmedabad,"Python, TensorFlow, Scikit-learn"
Engineering,EEE,Power Systems Engineer,Startup,Spinny,Kolkata,Power Generation
Engineering,CSE,Data Scientist,Startup,Udaan,Mumbai,"Python, ML, Pandas, NumPy"
Engineering,CSE,DevOps Engineer,Startup,Tredence,Noida,"Docker, Kubernetes, CI/CD"
Engineering,EEE,Power Systems Engineer,Startup,Zerodha,Coimbatore,Power Generation
Engineering,ECE,VLSI Engineer,Startup,Zerodha,Coimbatore,"VHDL, Verilog"
Engineering,Mechanical,Maintenance Engineer,Startup,InMobi,Gurgaon,Plant Maintenance
Engineering,AI&DS,Big Data Engineer,Startup,Byjus,Pune,"Spark, Hadoop"
Engineering,Mechanical,Quality Engineer,Startup,InfraMarket,Coimbatore,Six Sigma
Engineering,ECE,VLSI Engineer,Startup,Porter,Mumbai,"VHDL, Verilog"
Engineering,AI&DS,AI Engineer,Startup,OfBusiness,Coimbatore,"Deep Learning, NLP"
Engineering,ECE,VLSI Engineer,Startup,Byjus,Hyderabad,"VHDL, Verilog"
Engineering,CSE,ML Engineer,Startup,Delhivery,Kolkata,"Python, TensorFlow, Scikit-learn"
Engineering,Civil,Structural Engineer,Startup,Postman,Bengaluru,"ETABS, STAAD"
Engineering,ECE,Signal Processing Engineer,Startup,Navi,Coimbatore,"MATLAB, DSP"
Engineering,AI&DS,AI Engineer,Startup,Ather Energy,Mumbai,"Deep Learning, NLP"
Engineering,ECE,Signal Processing Engineer,Startup,Zerodha,Ahmedabad,"MATLAB, DSP"
Engineering,ECE,IoT Engineer,Startup,Chargebee,Gurgaon,"Sensors, MQTT"
Engineering,CSE,Software Engineer,Startup,CRED,Bengaluru,"Python, Java, DSA, OOP"
Engineering,ECE,Embedded Engineer,Startup,Delhivery,Coimbatore,"C, Embedded Systems"
Engineering,CSE,DevOps Engineer,Startup,Urban Company,Pune,"Docker, Kubernetes, CI/CD"
Engineering,ECE,IoT Engineer,Startup,CARS24,Bengaluru,"Sensors, MQTT"
Engineering,CSE,Backend Developer,Startup,Slice,Noida,"Java, Spring Boot, APIs"
Engineering,Civil,Quantity Surveyor,Startup,Tredence,Chennai,"Estimation, Billing"
Engineering,AI&DS,ML Engineer,Startup,Zomato,Pune,"TensorFlow, PyTorch"
